Stakeholder ID,Stakeholder name,Top 20 capacity funder?,G-20 member?,Net recipient?,Nordic?,"Total disbursed for capacity (USD, nominal)"
883,Australia,t,t,f,f,2077680942.7156403
891,Belgium,t,f,f,f,224125312.90553194
908,Canada,t,t,f,f,4188554080.6172447
927,Denmark,t,f,f,t,494022757.6793833
1200,European Union,t,t,f,f,6037564263.6105995
944,Finland,t,f,f,t,452534831.6648692
945,France,t,t,f,f,594992242.4709737
869,Germany,t,t,f,f,5567766626.335036
969,Ireland,t,f,f,f,96581394.76750082
971,Italy,t,t,f,f,510792848.60712624
973,Japan,t,t,f,f,439060770.41966534
868,Netherlands,t,f,f,f,3961994814.967966
1010,New Zealand,t,f,f,f,214660832.69976187
1017,Norway,t,f,f,t,1158076919.0646122
1030,Republic of Korea,t,t,f,f,139335992.78793716
1055,Spain,t,f,f,f,205768681.19908258
1059,Sweden,t,f,f,t,899211259.1020803
1060,Switzerland,t,f,t,f,259612279.24718428
1075,United Kingdom,t,t,f,f,10105323939.380215
1078,United States of America,t,t,f,f,50342084731.75999
